StarID	Hip	ProperName	RA	Dec	Mag
71584	98819	 	20.06846253	17.07116105	5.8
71587	98823	 	20.06897411	7.27793427	5.51
71590	98828	 	20.06947073	25.79032448	7.88
71591	98831		20.070264	31.24316659	6.88
71593	98835		20.07058732	17.73487414	6.87
71594	98836		20.07076318	51.28797981	7.01
71596	98839		20.07168856	-26.32935247	8.16
71597	98842	 	20.07210082	-32.05626941	4.99
71598	98844	 	20.07309807	-0.70902114	5.67
71599	98845		20.07320928	33.55056764	7.47
71603	98849		20.07376596	-27.7475101	7.49
71606	98853		20.07408972	73.90940954	6.91
71610	98858	 	20.07466292	48.22966326	6.16
71615	98863	 	20.07671575	32.21862467	5.62
71622	98872	 	20.07903188	63.89011646	6.24
71627	98878		20.07961308	1.15609918	7.69
71628	98879		20.07967816	15.90302119	7.33
71634	98890	 	20.0815035	68.02718293	6.32
71638	98894		20.08197535	26.05515008	7.69
71639	98896		20.08278029	-21.31400204	7.11
71640	98897	 	20.08293947	23.21036653	6.54
71646	98906	 	20.08426565	54.43642895	11.99
71647	98908		20.08478785	-13.44843027	10.85
71648	98910	 	20.08483752	-11.59937704	6.38
71649	98911		20.08485984	13.76418008	7.19
71652	98915	 	20.08520138	51.83932191	6.14
71655	98918		20.08552956	-46.09696218	6.96
71656	98919		20.08577666	-63.06147473	7.28
71657	98920	 	20.08596517	19.99087704	5.09
71658	98921	 	20.08599637	38.47818576	6.17
71659	98922		20.08614735	2.1190578	6.77
71660	98923		20.08620419	40.81391206	7.22
71663	98926		20.08666732	-26.81324381	7.24
71672	98942		20.0887588	-29.07933112	7.48
71674	98945		20.08898285	0.45451197	6.93
71675	98946	 	20.0893064	56.34122669	6.19
71678	98951		20.09051376	-34.66680979	6.99
71680	98953	 	20.09064738	-12.6650459	6.53
71681	98954	 	20.09070166	15.50036919	6.37
71686	98959	 	20.09207967	-67.31925724	6.08
71687	98960	 	20.09222876	-32.99981877	6.53
71688	98962	 	20.09242365	61.99524822	5.4
71689	98964		20.09265366	3.50310035	8.35
71690	98965		20.09273288	7.38616757	8.62
71699	98978		20.09458553	48.56680305	7.44
71706	98987		20.09564014	22.79721893	6.91
71713	98998		20.09888892	4.77556419	6.96
71714	98999		20.09893422	35.67209752	7.29
71716	99002		20.0992574	35.78839095	6.77
71718	99005		20.09964262	35.79720548	7.36
71723	99010		20.10054693	9.0933992	7.4
71727	99014		20.10137115	5.25389172	9.61
71735	99024	 	20.10338725	-4.07812491	6.47
71737	99026	 	20.10378856	53.16506746	5.81
71741	99031	 	20.10609148	35.97353894	5.38
71745	99035		20.10694506	39.09859975	6.86
71751	99041		20.10806224	36.22688626	7.01
71755	99046		20.10909064	-21.67657817	7.99
71756	99048		20.10940327	12.68164972	7.34
71758	99050		20.11006623	-4.41740171	7.12
71762	99055		20.11076606	7.57615536	7.12
71781	99080	 	20.11483274	23.61442409	5.08
71790	99090		20.11666784	66.30805078	6.97
71793	99093		20.11718169	13.32430121	7.14
71796	99096		20.11810131	-19.42298424	11.54
71797	99097		20.11838535	36.82667005	6.96
71798	99100		20.11919659	-0.87408537	8.26
71800	99102	 	20.11984626	50.22961721	6.53
71801	99104		20.12050651	-69.55545014	7.45
71805	99107		20.12110556	82.21646502	7.46
71807	99111		20.12163934	11.05392828	7.12
71816	99120	 	20.12310238	-52.88080972	4.93
71817	99122		20.12324651	35.71831196	7.26
71818	99121		20.12328165	-29.7208838	6.69
71820	99124		20.1240378	36.56777121	7.28
71824	99131		20.12537262	16.64730762	7.17
71827	99136		20.12622516	45.15342514	7.42
71828	99137	 	20.12640887	-55.0161003	6.26
71835	99145	 	20.12817796	34.42292025	6.12
71839	99149		20.12885588	2.44301012	7.16
71840	99150	 	20.12910568	-31.7521597	12.25
71841	99152		20.12930588	57.7999519	7.18
71846	99158	 	20.13065004	9.39976375	6.43
71851	99165		20.13228248	7.44197657	11.28
